Observation,Open,High,Low,Close,Adj Close,Volume
360,6.41,6.54,6.41,6.52,1.491033,3970000
361,6.565,6.575,6.42,6.455,1.476169,3887000
362,6.4,6.445,6.365,6.425,1.469308,1863000
363,6.435,6.44,6.35,6.36,1.454444,2051000
364,6.365,6.375,6.26,6.28,1.436149,2801000
365,6.26,6.3,6.225,6.295,1.439579,2047000
366,6.3,6.3,6.16,6.19,1.415567,3384000
367,6.19,6.24,6.17,6.215,1.421284,1861000
368,6.35,6.35,6.17,6.18,1.41327999999999,2000000
369,6.15,6.27,6.13,6.25,1.429288,2224000
370,6.3,6.45,6.225,6.43,1.470452,4935000
371,6.4,6.635,6.4,6.52,1.491033,10330000
372,6.5,6.55,6.355,6.42,1.468165,3480000
373,6.475,6.58,6.375,6.515,1.48989,5028000
374,6.525,6.625,6.425,6.465,1.478456,6201000
375,6.5,6.575,6.45,6.54,1.495607,9052000
376,6.575,7,6.56,7,1.600803,5919000
377,7.35,7.4,7.125,7.19,1.644253,8058000
378,7.15,7.235,6.92,7.075,1.617954,4157000
379,7.05,7.05,6.865,6.89,1.575647,3626000
380,6.92,6.97,6.85,6.925,1.583651,3200000
381,7,7.09,6.955,7.03,1.60766299999999,2480000
382,7.085,7.15,7.025,7.125,1.629389,2634000
383,7.03,7.07,6.95,7.035,1.60880699999999,2014000
384,7.05,7.4,7.025,7.32,1.673982,3692000
385,7.5,7.59,7.35,7.46,1.705998,3767000
386,7.46,7.485,7.37,7.41,1.694564,1911000
387,7.4,7.425,7.3,7.4,1.692277,1806000
388,7.4,7.43,7.325,7.405,1.69342099999999,1572000
389,7.35,7.425,7.23,7.325,1.675125,1705000
390,7.385,7.425,7.33,7.38,1.687703,3362000
391,7.4,7.43,7.38,7.405,1.69342099999999,1262000
392,7.415,7.5,7.37,7.475,1.709429,2393000
393,7.415,7.56,7.405,7.505,1.716289,2048000
394,7.5,7.69,7.475,7.61,1.74030099999999,3385000
395,7.675,7.75,7.55,7.655,1.750592,807000
396,7.5,7.59,7.45,7.525,1.720863,1917000
397,7.49,7.535,7.4,7.46,1.705998,2587000
398,7.46,7.465,7.39,7.425,1.69799399999999,2085000
399,7.4,7.445,7.16,7.2,1.64654,886000
400,7.205,7.38,7.1,7.13,1.63053199999999,813000
401,7.08,7.215,7.08,7.2,1.64654,983000
402,7.13,7.175,7.1,7.125,1.629389,644000
403,7.12,7.145,7.025,7.075,1.617954,1096000
404,7.01,7.01,6.75,6.955,1.590512,610000
405,6.975,6.985,6.825,6.95,1.589368,559000
406,6.925,6.985,6.5,6.535,1.49446299999999,1001000
407,6.77,6.77,6.265,6.51,1.488747,642000
408,6.575,6.6,6.425,6.445,1.473882,793000
409,6.5,6.675,6.49,6.575,1.503611,715000
410,6.505,6.7,6.5,6.665,1.524193,926000
411,6.475,7,6.475,6.86,1.568787,3200000
412,6.9,6.94,6.61,6.805,1.556209,2084000
413,6.85,6.9,6.7,6.74,1.541344,793000
